,Text,Label,C_Disch_-1,C_Disch_1,C_Disch_Pred,drugName,condition,date,usefulCount,rating,error_analysis,comment
10205,"I got this implant October 2014. I had terrible side effects for about the first month. Dizziness, diarrhea, nausea, and I was always tired. Like. Always. I would fall asleep and my boyfriend would wake me up and I didn&#039;t even know I was sleeping. 5 minutes later I would fall asleep again. It really sucked and I thought about removing it. I also had very irregular bleeding for maybe 5 months. I&#039;m glad I did not get this removed!!! All of those symptoms stopped after the first month (besides the bleeding). Now that I&#039;ve had it for over a year and a half, I never get a period, just occasional spotting every 3 or 4 months. Besides when first inserted, I haven&#039;t had any pain in my arm. Despite the initial side effects, I recommend this",1,0.99507976,0.002358934,-1,Nexplanon,Birth Control,18-Jan-16,1,8,negative side effects,
10244,At first I thought since 1 pill was for kids I guess I&#039;ll take 3 pills since I&#039;ve always had problems with constipation.. WORST MISTAKE EVER! I took these 3 horrid pills at 2am.. Thinking they would work overnight.. Here I am at 12:25pm.. With extreme nausea &amp; vomiting my guts out &amp; major diarrhea.. My stomach feels like I&#039;m going into labor these cramps are just too unbearable.. I shouldn&#039;t have taken 3.. I took 1 too many and now I&#039;m learning my lesson the hard way..,1,0.99772257,0.000298168,-1,Bisacodyl,Constipation,24-Jun-16,13,10,negative side effects,
8736,"Being a severe epileptic I&#039;ve had insomnia for years as well as some thyroid probs that lead to increased BP/HR.  I originally tried Lunesta /ambien and they caused pretty nasty side effects (doing stuff and not remembering etc) plus they stopped working pretty quickly.  My PCP   eventually placed me on 30mg tablet of Temazepam (from my understanding though not many drs in the US like to prescribe this med due to possible dependency issues etc). While it&#039;s only supposed to be used on a short term basis I&#039;ve actually been taking it for about a year almost every night (sometimes I don&#039;t),  when I don&#039;t take it i haven&#039;t noticed any unpleasant side effects.  It just slowly puts me while watching TV to a great  restful sleep. Def recommend!!",1,0.9981502,0.000655912,-1,Temazepam,Insomnia,1-Sep-16,16,9,another drug mentioned,
30500,"Was on Lyrica for peripheral neuropathy and fibromyalgia. However, symptoms remained intense and quality of life was severely compromised. In comparison, within days of switching to 90mg Cymbalta daily, symptoms dramatically improved with little side effects.",1,0.8734955,0.012962103,-1,Duloxetine,ibromyalgia,17-Feb-15,77,10,another drug mentioned,
15684,"I looked into it and burning from monistat often occurs when you have an infection other than a yeast infection because the pH levels are different and cause a different reaction. Yeast infections don&#039;t change pH in this way. Use an infection screening kit from any pharmacy and make SURE you only have a yeast infection before using monistat... 



I had only a yeast infection and therefore experienced none of this itching or burning, just light cramps.",1,0.9854497,0.000636745,-1,Tioconazole,Vaginal Yeast Infection,3-Jan-17,13,10,negative side effects,
19453,"I&rsquo;ve been getting migraines since I was a teenager. I&rsquo;ve always used Imitrex (sumatriptan) which worked really well, but the side effects kept worsening throughout the years. So much so that it got to the point where the clothes that touched my skin hurt. Not normal, but better than a migraine, right? That was my thought. I told my doctor and she immediately had me switch over to nortriptyline 10mg before bed. I have sleep issues and PTSD as well and starting this medication helped me with all of it. I&rsquo;ve had two migraines since starting a month ago. This is a huge improvement over the 8+ migraines I would normally have. The only downside is that it can back you up a bit. Easy fix with a little Miralax. Overall, I would highly recommend!",1,0.84230834,0.002316655,-1,Nortriptyline,Migraine Prevention,23-Nov-17,0,9,another drug mentioned,
4009,"I had been prescribed metformin for weight loss and being pre-diabetic. My GP wanted to treat it aggressively. Also slightly hypoglycemic. I had taken it religiously for about 2 mos. then went off it due to it gave me a metallic taste in my mouth and I just couldn&#039;t stand it anymore.


For the last month almost everyday, I&#039;ve felt shaky, weak, fatigued and just weird whenever I was hungry and after almost every meal. (My blood sugar sometimes goes down way too low after eating). I decided this morning that maybe I should be back on the metformin so I took 1 at breakfast. Well I don&#039;t know if 1 pill can do it, but within an hour I&#039;ve felt better than I have in months. The shaky weak feeling completely went away and I had a ton of energy since.",1,0.44086254,0.17938039,-1,Metformin,Insulin Resistance Syndrome,28-Jul-13,101,9,negative side effects,
53761,I have taken Tamoxifen for 5 years. Side effects are severe sweating and depression. I have been taking Effexor XR longer than I have been on Tamoxifen. My Oncologist increased the Effexor dosage from 75 mg to 150 mg per day. She assure me the Effexor and Black Cohoosh would STOP the sweating...NOT. SWEATING INCREASED AND I AM MORE DEPRESSED THAN EVER. I had a sonogram last month that revealed a very small fibroid and fluid in my uterus. Got an appointment with GYN next week to see how she wants to handle the uterus problem. ,1,0.99703074,0.000440832,-1,Tamoxifen,"Breast Cancer, Prevention",13-Sep-14,43,10,negative side effects,
34484,"I was on the Nuvaring and the Patch before that.  I had terrible moodswings, irregular bleeding and weight gain.  I have none of that with this pill.  I am 45 years old and having been using for over two years.",1,0.9948527,0.000465249,-1,Ethinyl estradiol / norethindrone,,29-Sep-11,5,10,another drug mentioned,
4902,It does stuff I never thought meds would do.  It has made corrections to my perceptions and how I look at things and my racing thoughts,1,0.9923578,0.000633972,-1,Aripiprazole,Schizophrenia,2-Oct-15,21,10,original symptoms mentioned,
31219,"Got 3 tiny bumps size of grain of sand at opening of vagina 20 months ago, thought they were ingrown hairs, pinched off w tweezers. Month later had a lot of vigorous sex w bf, next day had about 6 bumps in same place. Went to clinic immedediately, Dr said they were genital warts caused by a form of HPV, I was devastated. Went to Gyno 3 wks later, warts spread, about 20, he biopsied a cluster. Tried apple cidar vinegar, it was very painful. Biopsy came back neg for HPV, so went to Dermitologist. He said warts too, prescribed Imiquimod 5% cream. Used it Mon Wed Fri. Seemed like it took forever &amp; got welts on perineum, but warts were gone by 5 wks. Got 1 bump 3 months later, used cream. Haven&#039;t had any for 13 months, but my bf just developed them",1,0.57905465,0.41742346,-1,Imiquimod,Human Papilloma Virus,6-Apr-17,6,10,negative side effects,
33319,"I never really believed I would quit smoking. I loved smoking. I wanted to live longer and that is the only reason I wanted to quit. I chose option 3 plan on chantix 84 days to quit, you just cut in half each month. I had a lot of nausea so I took 1/2 dosage for 3 weeks. At end of 3 weeks I went from 2 packs a say to 7-8 cigs a day. Started full dose at this time and ate before taking that helped nausea, had a lot of weird dreams but slept better on chantix. Today is my stop date and I fully quit  almost a month ago before my stop date. I have never felt as proud as I am right now, I did it. I just had to get past the first 2 weeks then it was smooth sailing. I let chantix do the work. Thanks chantix",1,0.94376343,0.02585718,-1,Chantix,Smoking Cessation,18-May-17,21,9,negative side effects,
50075,"I took crestor for about two years with minor side effects. Since I turned 65, I noticed my leg muscles ( hamstrings, Knees) were hurting. I stopped taking Crestor and my legs feel better. The drug did help lower my cholesterol  but my legs were killing me and I had trouble walking due the stiffness and pain. While I am not 100% certain my leg pain was due to Crestor, it certainly looks that way.It has only been 6 days since I stopped.",1,0.86607856,0.000529693,-1,Rosuvastatin,High Cholesterol,16-Jul-16,72,8,negative side effects,
28766,"Very discouraged after taking 10 days of Sulfa and 2 weeks of Doxycycline that my family doctor prescribed.  Symptoms got better but never went away. Went to a Urologist and he said his first choice is definitely Cipro. Also said that Doxy is a &quot;static&quot; drug and WILL NOT kill the bacteria, it will only stop replication.  Cipro kills it. I&#039;ve also searched the web up and down for answers and almost all say it takes 4-6 weeks of taking a Cipro related drug.  Finishing up week 6 of Cipro and all my symptoms are GONE and feel normal again!  Going to take another week to be on the safe side. Give this time to work...it&#039;s not an overnight fix.  Frustrating, but true.  Also, no side effects either.",1,0.9968501,0.000419254,-1,Cipro,Prostatitis,10-Oct-12,94,10,another drug mentioned,
42443,So I recently found out yesterday I had the infection after having a miscarriage,1,0.7933574,0.15191525,-1,Azithromycin,Chlamydia Infection,24-Jan-15,14,10,original symptoms mentioned,
48560,"This was and is still a  nightmare contraceptive.  Bought this and used with my boyfriend. Used 3 in one night.  We both had side effects.  We are exclusive if not. ..I would have thought I caught something.  Felt good after using but 2 hours later the excess is flowing out &amp; leaves me feeling slightly irritated.  I wash again but still feel a persistent irritation. Day 2. he had a weird sensation while peeing.  Both of us have itchy genitals and it only gets worse from there.  I almost feel like a yeast infection.  My anal region itches.my vaginal area feels dry but it isn&#039;t.  It&#039;s just highly irritated.  I&#039;ve used raw yogurt, acidophilus pulls and so feel irritated.  Never using this again. It&#039;s day 4 and these symptoms are still annoying",1,0.9960472,0.000427903,-1,Nonoxynol 9,Birth Control,29-Apr-15,5,9,negative side effects,
40892,"I had the paraguard for 7 years. I was 20 with no children. I&#039;m also forgetful and wanted a birth control that I didn&#039;t have to worry about taking every day like the pill.I tried the depo shot but gained too much weight. I had absolutely no problems except for the fact that it was very painful when inserted, I&#039;m sure that it had something to do with me not being pregnant before. But..... I became pregnant last September. Either my iud moved because I became pregnant or because it had moved beforehand, I&#039;m not sure. Either way I couldn&#039;t feel the string and didn&#039;t schedule annual exams so I believe this caused me to become pregnant. I urge everyone with an iud to make sure you check yourself once a month and schedule exams every year!!",1,0.9975526,0.000336615,-1,Copper,Birth Control,22-Sep-16,17,8,another drug mentioned,
10395,"I have been diagnosed with fibromyalgia as well as degenerative disc disease/arthritis in my cervical spine. I was given several different meds, eventually ending up with 50mg of tramadol. I recently had spinal fusion in my neck and have been in OxyContin/oxycodone and have had good post op pain relief, but little to no effect on my fibro symptoms. I&#039;ve been asking my doctor for tramadol for several weeks (I&#039;m 9 weeks post op) and he has said I wasn&#039;t ready for that weak a medication yet. Finally today he agreed to take me off of oxycodone and let me get back to tramadol for my main pain, which is fibromyalgia. It does not make me sleepy like oxycodone and it controls the pain in my legs/hips that just doesn&#039;t get relieved from oxy.",1,0.77367,0.07467856,-1,Tramadol,Pain,15-Oct-12,40,8,another drug mentioned,
52624,"I have racked my brain trying to remember the name of this birth control. Sad it is discontinued. My favorite out of five brands I have tried. Made me lose 5lbs/mo without changing anything in my life style, i never got pregnant and I never had acne.",1,0.9980197,0.000308778,-1,Ethinyl estradiol / norethindrone,Birth Control,8-Nov-16,4,10,negative side effects,reviewer never had negative symptoms mentioned
38690,I only took 1 pill 50 mg Sat. night for back pain and I have eaten 4 crackers and 1/4 c of chicken broth and it&#039;s Monday. I don&#039;t know whenever I have been so sick at my stomach but I will never ever take this pill again. Ever!,1,0.9977456,0.000280618,-1,Topiramate,Obesity,15-Nov-16,19,10,negative side effects,
15287,"I have had the worse case of cold sores for nearly 10yrs now, I use to live by Lysine ointment because I thought it was the best fastest treatment of cold sores compared to the numerous other ones I had tried that made it worse. I&#039;ve learned over these years that not everyone gets cold sores the same severity, mine are sometimes started on my lip then spread away from lip &amp; onto upper lip or even cheek, form into at least 10 mini blisters leaving incredible damage on face! I had avoided Abreva because of the price at the time (nearly $20),I  couldn&#039;t find my lysine so I tried Abreva, it is the overall best coldsore med on the market! PROMISE!",1,0.57806677,0.14398304,-1,Docosanol,Herpes Simplex,5-Nov-15,13,10,another drug mentioned,
15837,"Methadone helped with my chronic lower back pain. I worked up to 80 mg a day. Doctor had his license suspended. Cold turkey withdrawal!!! On day 7 and its pure hell! Oh yeah at first I was great, could move work you name it. But after NO Dr would see me because of who my previous Dr was I had to withdrawal! Beware my friends when you go off methadone you will hate your Dr for giving it to you and wish you were dead to stop the horrible pain. And it takes months to feel normal again. Just getting up to get water takes a long agonizing experience! Plz get off soon with professional help. I didn&#039;t have that. Hospital detox was too full so sent me home with blood pressure 90/60 and falling. Had to call ambulance to go back!",1,0.9963941,0.000345786,-1,Methadone,Opiate Withdrawal,17-Aug-15,27,8,negative side effects,negative side effects when drug stopped
8687,I have been on Femara for 4 months. Hand pain and weight gain.,1,0.9798233,0.00057859,-1,Femara,Breast Cance,23-Apr-12,99,8,negative side effects,
32736,I took this medication for a parasite called blastocystis hominis. I have a metal taste in my mouth and feel nausea and anxiety. Also my pelvis hurts and I feel my chest feels tight at times.,1,0.98294514,0.000717462,-1,Tinidazole,Bacterial Vaginitis,29-Jun-15,7,9,negative side effects,
46960,"All right people, let&#039;s get a few items out of the way to begin. NO, methadone does not &quot;rot your bones&quot; or your teeth. Not taking care of your teeth and being nutrient deficient WILL rot your bones and teeth. Brush your teeth 2x or 3x a day, floss, use mouthwash and take bone health supporting vitamins and nutrients and that will help keep your skeletal system in good nick. YES, methadone has an unusually long withdrawal period. why? because it&#039;s half-life is very long when compared to other opiates; up to 60 hours versus some opiates with half-lifes of 6 to 8 hours. of course the withdrawal period is going to be more pronounced and prolonged - it&#039;s basic chemistry and biology here, people. methadone, put simply, WORKS.",1,0.7502778,0.04332438,-1,Methadone,Opiate Withdrawal,11-Oct-16,29,10,negative side effects,reviewer never had negative symptoms mentioned
25531,"Periodically on Flagyl bc of crohns and rarely drink,  however I was on it during holidays a couple years ago and toasted the celebration with a half glass of champagne. 3 hours later I was burning up &amp; felt like my chest was abt to explode.  1hour after that the vomiting began. I puked my guts up for 15 hours,  had to go to ER for dehydration and was miserable for another day.  I WOULD NOT RECOMMEND ALCOHOL,  EVEN IN TINY AMOUNTS WHILE ON THIS DRUG. IT&#039;LL RUIN YOUR NEXT DAY OR TWO.",1,0.99040014,0.000694283,-1,Metronidazole,"Crohn's Disease, Acute",27-Nov-15,2,9,negative side effects,
8096,"So I&#039;m very prone to yeast infections and UTIs so this is not new for me. I knew the signs and symptoms of my yeast infection: itching, a lot of discomfort, and thick creamy discharge. I waited it out a couple days because sometimes when they&#039;re mild they&#039;ll go away on their own, but I couldn&#039;t handle the discomfort. So luckily I had Monistat 1 at home so I popped it in and it&#039;s been almost 4 hours and I&#039;m feeling amazing. So I guess you&#039;re supposed to take this before bed? But I used it at 7:45 AM because I didn&#039;t want to be uncomfortable this whole day. I&#039;ve heard horrible stories about Monistat 1 and amazing ones as well, just depends on your body and how it reacts to the medicine. Not everyone feels results as quick as me! Dont panic!",1,0.9884084,0.000730063,-1,Tioconazole,Vaginal Yeast Infection,16-Jan-15,22,10,original symptoms mentioned,
53449,I used this years ago when I hadn&#039;t gone for 2 weeks but be careful and DON&#039;T use all the time it is bad for your intestine.,1,0.99378246,0.001457524,-1,Magnesium citrate,Constipation,18-Mar-15,44,10,negative side effects,
24447,"Not working for my back pain, wonder if I will be able to ask doctor to increase from 100mg.  I have been confused  which I didn&#039;t connect with the tablets. Thanks for your comments, it may help me to stop taking them or increase mg. I cannot sleep with pain, maybe I&#039;ll just take at night.",1,0.9932569,0.000290062,-1,Gabapentin,Pain,7-Oct-17,4,9,original symptoms mentioned,
11359,"I HAVE MY LIFE BACK. Currently taking 2mg day 8, with 50mg Lamictal, 50 mg Seroquel, Lexapro, elavil and Klonopin. Started with the 5 mg, 1st day slept all day, 2nd day increased back pain, 3rd day woke up with severe sweats lasted 7 hours. The nurse said don&#039;t take it tonight and come in for 2 mg. IT WORKED. I am no longer sleeping 12 hrs a night and playing computer games 7 hrs a day. I WANT to go out, shop, dress up, wearing makeup doing hair. People literally don&#039;t recognize me. Everybody wants to know what I&#039;m doing to feel so good. FINALLY! I have CPTSD, MDD, Bipolar 2, OCD that I know of. I pray it lasts. I am a little on the manic side, but I suppose I will mellow out in time. THANKS MAKERS OF ABILIFY!",1,0.9978599,0.000518477,-1,Aripiprazole,Depression,8-May-12,1,9,negative side effects,
18692,The only thing I don&#039;t like about this medicine is that it doesn&#039;t work for very long...3 hours at the most.,1,0.544036,0.32503825,-1,Oxycodone,Pain,2-Aug-09,8,8,could be improved,"reviewer likes drug, but wants it to work longer"
8000,It is so upsetting that I can no longer get Quinine Sulfate for use when my legs cramp at night.  I call my symptoms Dancing Legs because they just won&#039;t calm down without quinine.  ,1,0.9898968,0.004723828,-1,Quinine,Nocturnal Leg Cramps,1-Oct-10,21,10,original symptoms mentioned,
7785,Actos has worked well for me for 10 years and now comes FDA with another cancer scare. Anything can induce cancer and the scientific data on Actos causing cancer does not have that much credibility with me.,1,0.9974452,0.001920159,-1,Actos,"Diabetes, Type 2",24-Oct-11,50,10,negative side effects,reviewer thinks negative side effects won't occur
40856,"My OB recommended this for my insomnia/racing thoughts at night in pregnancy. Took 25 mg and was out w/in 30 minutes and tired the next day. Cut down to 1/2 a pill and was much better. Haven&#039;t gotten a full nights sleep in 6 months and was losing my mind, it completely fixed that. I will say that if I don&#039;t drink lots of water with it I get terrible headaches but as long as I stay hydrated and give myself 8 hours to sleep I am ready and wake up right away with my alarm in the best mood I&#039;ve had since the pregnancy started.",1,0.9955966,0.000455121,-1,Doxylamine,Insomnia,15-Dec-15,19,10,negative side effects,
15313,"This made me really sick.   I would say go for plan b even if it is a little more expensive.  Plan b didn&#039;t bother me when I took it before.  But , with this medicine , I had all of the side effects you can imagine. But I am not pregnant , so the medication did do it&#039;s job. Just be wary that you can get upper respiratory infection, diarrhea, terrible cramps, &amp; a lot of bleeding.",1,0.7068139,0.0808759,-1,Next Choice,Emergency Contraception,8-Oct-15,9,9,negative side effects,
20919,"This was my first time being on birth control


The first few days were fine, I started it on a Monday, but on Friday morning I was throwing up. After that day I was always nauseous and had insane mood swings. I&#039;d crave something, then once I got it the smell of it made me wanna puke. The only thing I was really able to eat was crackers and soup. The 2nd Monday after I changed my patch...that night I had weird dreams and I kept waking up feeling sick I couldn&#039;t take it anymore, in the middle of that night I took that patch right off. I don&#039;t know if it&#039;s due to the fact that I&#039;m tiny 104 pounds and at the time I wasn&#039;t eating a lot. But I&#039;m not even gonna try it again nausea is not fun at all. Anyway, I&#039;m on the pill now, could be happier.",1,0.9922299,0.001171292,-1,Ethinyl estradiol / norelgestromin,Birth Control,2-Nov-13,10,10,another drug mentioned,
42655,"This is extremely effective in preventing pregnancy. However the side effects are HORRIBLE. I have been on my period for most of this year. I got this in around the end of February beginning of March about two weeks later I started a full on period. It lasted for about THREE MONTHS, my doctor had to give me a prescription for it to stop. Then it stopped for about a month and started again and hasn&#039;t stopped since. That&#039;s another TWO MONTHS. I have been on my period for most of this year. This is not to mention the depression and 20 pound weight gain. ",1,0.994439,0.000592226,-1,Etonogestrel,Birth Control,22-Sep-14,16,10,negative side effects,
2964,"I&#039;ve been on this medications for 1 year with no problems  for a month my legs have been swollen.

I&#039;ve been on Zoloft 25g. No reaction, called PCP told to go to Urgent Care , went to Urgent Care was told to see PCP. I have an appointment In 3 weeks to see a kidney dr. Due to to Acute Kidney Injury. I am in severe pain , my legs are swollen from the thighs down. Hoping for relief soon.",1,0.99322456,0.001953482,-1,Hydrochlorothiazide / triamterene,Edema,20-Aug-17,2,9,another drug mentioned,
37540,229 down to 139 in a few months on 40 mg simvastatin.  I had been over 220 for many years.  Shocked me.,1,0.99580705,0.002267569,-1,Simvastatin,High Cholesterol,22-Feb-10,12,9,original symptoms mentioned,review is positive
15262,I use the generic cialis from India.  Their is no difference from brand and generic from India. Save your money I buy all my meds from India. American drug prices are outragous.,1,0.99083567,0.001422051,-1,Tadalafil,Erectile Dysfunction,15-Feb-16,109,10,cost,
38118,I started giving my daughter this medication and she started getting more aggressive and having more of an attitude and more violent towards people so I stop giving her the medication. She was taking Adderall with the medication at the time so I don&#039;t know if it was a combination of the both together or what,1,0.99827313,0.000279508,-1,Guanfacine,ADHD,14-Jul-16,15,8,,
7011,"I have been taking tramadol for over 10 years now. I take 2 50mg pills 3x a day. I have found a huge difference in the generics. I thought mylan was the best , but the last few months something has changed. Its almost like the mylan pills are fake. They don&#039;t work at all. They only give me a headache. I used to take amneal until those stopped working. So this month i went to a different pharmacy and got the zydus brand even though i have read bad reviews of zydus brand tramadol. After 1 hour of taking my first dose it was like night and day. These work great. It was almost like the first time I took hydrocodone. I had little pain, my pain went from an 8 to a 2 . I dont take these to get high but I had a warm fuzzy itch all over my body.",1,0.9970692,0.000640081,-1,Tramadol,Back Pain,1-Dec-16,20,9,,
47043,"Before this I tried one mini pill and had mood swings/break outs.  Then tried combined pill (lucette) and gained weight rapidly-even went up a cup size in a week.  As a result, I felt depressed because of my weight gain.  I then tried the IUD, intercourse felt like being stabbed internally and I had bleeding everyday for four months with flesh clots.  Although my gp claimed this wasn&#039;t because of the IUD, they eventually removed it due to an ovarian cyst.  Within days all side effects stopped, but my gp put me on Cerelle, which made me have insane mood swings and depression.  This is the first pill with no side effects other than light breakthrough bleeding every few months.",1,0.9935982,0.002930526,-1,Ortho Micronor,Birth Control,8-Jun-16,21,9,,
19852,"I&#039;ve been on medication like : Remeron, Tegretol, etc for years. I heard about this medicine and asked my doctor and he prescribed it to me (50 mg).

First week..fine, second week.. The worst time of my life. I felt over depressed, my body sore, had panic attacks, felt extremely aggressive. I ended up in hospital, and this great doctor told me that 50 mg is the initial dose but it&#039;s not right because this drug is highly concentrated. I nearly had an overdose bcause of the 50 mg! So as the psychiatrist from the hospital told me to take just 25mg, I now feel alive and happy again.",1,0.9556693,0.01770024,-1,Pristiq,Depression,24-Nov-09,22,8,,
43863,"i recently went to see a doctor for weight loss! Before I even had a minute to fill out my paper on my history, he asks me what kind of pills I want? I was like (huh?), then he explained about adipex, when I say explained, all he said was take it once a day, diet , come see me in 30 days! I thought this was crazy, he told me to bring back my paper work Monday! ANYWAY, I took it as he prescribed one a day, for only two days and have to stop! I am a recovering alcoholic /addict, this crap gave me the exact same feeling as meth, in which I have not used in 15 years. I was high!! I cannot jeopardize my sobriety so I guess I&#039;ll stay fat! But this doctor maybe should have took 5 minutes with me to explain or ask something about me!",1,0.9914424,0.001621861,-1,Adipex-P,Weight Loss,13-Sep-15,48,10,,
25408,"I also am upset.  This medication I have been taking for about 28 years.  I have been on everything else.  Nothing works like my Deconamine.  I have been hitting up all of the pharmacies around where I live trying to get what they have left.  I too, am a chronic sinusitis suffer.  6-8 infections a year.  And my Deconamine was the other thing that gave me a little relief.  Please do something.  We need this medicine!",1,0.60676163,0.07040054,-1,Chlorpheniramine / pseudoephedrine,Allergic Rhinitis,17-Apr-10,7,10,,
800,"My gynecologist offered me two choices cyrotherapy or the cream. I chose the instant freeze method because he said it was a faster alternative. Four of my small warts were frozen and the two large ones about the size of my middle finger nail, he suggested that I use the Aldara cream for it. The first application didn&#039;t burn at all but it itched like crazy around like 4am when I woke up and the same for the next application. I didn&#039;t see any results so I tried an ACV treatment for two hrs one day. It hurt like hell but I did notice a difference after that. The morning after my 3rd application I was literally able to wipe the warts away but it damaged my skin terribly in two places! ",1,0.9957847,0.000694292,-1,Imiquimod,Human Papilloma Virus,24-Feb-14,11,8,,
663,"I have always experienced a &quot;bruising&quot; type sensation when the least amount of pressure is applied to my fleshy areas, especially my legs and arms.  I wrote this off as &quot;just weird me&quot;. Additionally - I am extremely and overly TACTILE!  One tiny invisible seam on the neck of a clothing tag can completely THROW ME OVER THE EDGE until it&#039;s cut out, ripped out or simply trashed!  Same with sock seams...SOMETIMES EVERY INCH OF MY SKIN FELT BRUISED (which was not uncommon)- I did a simple Google search &amp; FIBROMYALGIA popped up!  Every symptom: incl. traumatic childhood causing dopamine receptors to &quot;warp&quot;- WAS ME..My psych put me on CYCLOBENZAPRINE 10mg up to 2x day. I take 1 at bedtime &amp; I am FINALLY ABLE TO SLEEP!!!",1,0.9927261,0.002462163,-1,Cyclobenzaprine,ibromyalgia,10-Nov-15,30,9,,
