,Text,Label,C_Disch_-1,C_Disch_1,C_Disch_Pred,drugName,condition,date,usefulCount,rating,error_analysis,comment
23432,"Hi , I take Tramadol every 8 hours 50 Mg.  I have Factor 5 mutation a blood clotting disorder. Both my legs are filled with chronic blood clots threw my groin and I also suffered PE. in December. I  was going to my Pain Dr for 2 years telling him it&#039;s not working for me. All he seemed to do was tell me he was not going to put me on anything else... So I gave up and feel left out like the trash my my Medical Dr. I did every nerve test and they came out fine, I went to at least 10 different Drs not just for my pain but my &quot; Green Fitler &quot; as well and Blood Drs and so forth .. to be told that the nerve test  they gave me wont show this type of nerve pain I am in agonoy 24]7 I cry my self to sleep most nights and suffer greatly .",-1,0.000624815,0.99516994,1,Tramadol,Pain,22-Aug-16,17,1,mixed sentiment,fine
32641,"I&#039;m fairly new to yeast infections. This is probably my third or fourth ever. Besides that I&#039;m sensitive to just about everything unfortunately. I didn&#039;t want to go and be prescribed diflucan again. (Diflucan worked like a charm by the way). I didn&#039;t read any reviews or I wouldn&#039;t have bought it. But I took it around 9:38pm and went to bed. I promise you at 11:00 the burning woke me up. On the inside and out so I  tried baby wipes, nothing. I decided to lay down. I couldn&#039;t take it. I got in the bathtub removed as much as I could and I lathered a loofah with summers eve sensitive wash and I scrubbed like hell. There is way less burning inside. And no burning at all on the outer skin. Maybe I didnt have one at alI idk. Hope this helps.",-1,0.003972509,0.81474763,1,Tioconazole,Vaginal Yeast Infection,29-Mar-16,1,1,another drug mentioned,
32697,Steroids whether injected or oral caused my fibromyalgia to be more painful. I experienced horrible pain from my hips down to my legs for 2+ days after having prednisone oral or IM/subarachnoid steroids.,-1,0.10323396,0.5428219,1,Prednisone,ibromyalgia,4-Dec-16,8,1,wrong prediction,not immediately clear why predicted positive
41640,"I&#039;ve had severe migraines since age 35.  20 days out of 30 and many unhelpful trips to ER.  Even Demerol did not stop the migraine. I have been taking  80 mg of Propranolol every day since then, 31 years. The propranolol did very little for my pain.  I researched and now take 400 mg of Coenzyme Q 10 and two 400 mg feverfew per day. Am headache free. I still take the propranolol because I have taken it so long I cannot safely get off it.  Sleeplessness, wild dreams are common, 

IBS D is a problem and the worst part is the sexual side effects.  ED.  I wish I had know about the Co Q 10 and feverfew first.",-1,9.47E-05,0.9994814,1,Propranolol,Migraine Prevention,3-Dec-15,23,3,another drug mentioned,
46806,"I tend to get blisters on or very close to my lips which is embarrassing and impossible to hide. Lysine hasn&#039;t helped to quell my Herpes Simplex-1, albeit it is surprisingly effective at decreasing the size and aggressiveness of the blisters. I&#039;ve tried utilizing a daily dosage of ~1000mg everyday annually for three years paired with o-t-c medications(abreva,lysine creams) applied asap after noticing the dreaded tingle. I still managed to get seven to ten outbreaks annually which was the same as before starting daily use. Therefore I only take heavy doses(2-3000mg daily) when I may be lacking sleep, sick, stressed or going to be in the sun for a while. Usually about a week before a possible out break and continue until it&#039;s healed.",-1,0.000118831,0.9993511,1,Lysine,Herpes Simplex,3-Jul-17,2,3,mixed sentiment,effective
48482,"My Doctor prescribed Flomax Min Dose, I was on for 10 years for a weak urine stream. Looking back,the condition for the weak stream was probably more psychological, Stress related. All medical examinations indicated normal to small prostate size and normal PSA level.  All blood work test showed normal.  When I started the medication,my urine stream strength improved with no noted side effects, I was Happy.  I was laid off, insurance ran out I couldn&#039;t afford the medication. I noticed after a few weeks that my Body was seriously depend on Tamsulosin. I could barely urinate &amp; It still very painful. After 2 mo. condition improved a bit but still there, No infections.I&#039;m fearful of taking meds long term.  Doc didn&#039;t tell me this could happen.  Don&#039;t know what 2 do!  ",-1,0.000122672,0.99914014,1,Tamsulosin,Overactive Bladde,13-Jan-16,11,3,another drug mentioned,
47607,"I am a 27 y/o female, have been battling depression and anxiety for a few years now. As I transition into a nurse, I decided that enough is enough, I can&#039;t keep living my life with this anxiety and unhappiness. St. John&#039;s Wort works okay. I didn&#039;t notice a huge change in my mood. I was a little happier, but not much. The anxiety was still the same. The biggest change I noticed was that it made it easier for me to talk to people. I have social anxiety really bad. Reason I decided to stop taking it is bc one night I had super bad anxiety so I took a Xanax and it COMPLETELY CANCELED OUT the effect of my Xanax. Went into a full blown panic attack, had to call into work. This drug has a A LOT of interactions with other meds. Will be going on SSRI",-1,0.000255813,0.9679835,1,St. john's wort,Depression,13-Feb-17,17,3,another drug mentioned,
1429,This medicine was effective for pain but it left me with chronic GASTRITIS and NAUSEA.,-1,0.005485397,0.8842921,1,Mefenamic acid,Period Pain,4-May-12,9,1,mixed sentiment,effective
330,"2nd injection in my knees and feel 35% less pain 

but I am sooo I&#039;ll

inj in both knees each friday, by Saturday 5pm I have outrageous headache nausea

dizziness. 

Very tough thru the night vomitting.

my stomach Hurts. 

Continues all sunday and monday till around 1pm



Two weeks in a row now and missed work because of it..not sure if I can continue injections",-1,0.000146309,0.9959059,1,Supartz,Osteoarthritis,4-Apr-16,20,3,mixed sentiment,less pain
50311,"I was on Diane 35 for seven yrs (15-23 my skin was amazing) What I didn&#039;t realize was that Diane Caused me to gain a lot of weight, I put it on almost immediately (age 15) and struggled with weight issues and an eating disorder. When I stopped Diane at 23 to have kids, I quickly lost about 15 lbs (5lbs of water) and my insane appetite as well.  After children I wanted to go back on Diane for nice skin. I promptly gained the weight, eating issues returned! So I quit and decided to try spiro. 25 mg once a day. My skin started clearing immediately but Within 3 weeks I had weight gain, aged 5 yrs, along with other horrible side effects! Since quitting for two days I feel myself again! I&#039;ll stick with Skin Ceuticals Acne Kit and zinc supplements!!",-1,0.005973443,0.9767337,1,Spironolactone,Acne,29-Mar-17,5,1,another drug mentioned,
45770,"I had the Paraguard put in by my Midwife, who recommended I take 3 Motrin beforehand. It was excruciating and didn&#039;t let up. It felt like a knife was inside my cervix, and the pain made me nauseous, dizzy, shaky, and see stars. I felt like I was going to pass out that night. The next day when I called, they ordered an emergency ultrasound. My body was trying to push the IUD out and it &quot;migrated&quot; so that instead of the top of the T laying horizontal and flat, one side was poking into me. They removed it immediately and the removal was also painful, but I had relief from the stabbing pain right away. She looked at the device and it had even bent (in 24 hours). I would not recommend this device.",-1,0.002050381,0.99439806,1,Copper,Birth Control,4-Feb-16,3,1,stopping drug reduced side effects,
34663,"Nightmares,  didn&#039;t help with pain.",-1,0.16381748,0.8341909,1,Duloxetine,Chronic Pain,16-Nov-15,15,3,mixed sentiment,help
21239,"I was on this pill to make my periods lighter and clear up my acne. It made my periods VERY light, usually lasting less than one day of bleeding, and one day of light spotting. For acne it did wonders, but ONLY when taken with the antibiotic minocycline, together. Both medications on their own did not effect my acne, but when taken together they helped tremendously.",-1,0.000187996,0.9956921,1,Ethinyl estradiol / norethindrone,Birth Control,15-Jul-17,2,3,another drug mentioned,
15842,"I&#039;m 20 years old and this would be my first YI .I  thought I had a yeast infection about a year ago (turns out it was a bacterial infection) so I went ahead and bought the miconazole cream and and did the 7 day treatment ... no burning no itching just didn&#039;t treat my infection which wasn&#039;t even a YI ... FAST FOWARD TO NOW ... well this IS IN FACT a YI so I went and bought Monistat 7 day cream, took a shower and did my first insert before I went to bed within 2 minutes the ITCHING GOT 1000X WORSE ! I couldn&#039;t sit still I was squirming all over the bathroom!!  It burns like crazy !! I&#039;m about 45 mins in and it has calmed. Hopefully tmw is better :/",-1,0.003586084,0.975594,1,Miconazole,Vaginal Yeast Infection,27-Jul-15,5,1,another drug mentioned,
8413,"Both of my parents suffer (ed) from Alzheimer&#039;s.  My mother died last summer, 8 years after her diagnosis and never took any medication except for Lorazapam.  My Dad was diagnosed with Alzheimer&#039;s 6 months ago

 He began taking Ariecpt in November and Mamantadine in December. In five moths he has degenerated so rapidly that he is functioning at the same level as my mom was at in her last year of the disease. Every time the dose is increased he gets exponentially worse its noticeable almost daily.  I am in the process of titration him off both. I wish I would have research it better. I thought that was the doctors job. This is the first online review I have written. Grateful to hear that I&#039;m not imagining these side effects. Thanks",-1,0.003043005,0.83849955,1,Memantine,Alzheimer's Disease,20-Jan-16,23,2,mixed sentiment,grateful
41088,"I&#039;ve been feeling blocked up not getting everything out for two weeks, and for the last two days nothing but liquid is coming out, so I&#039;m assuming fecal impaction.  Since I was still passing gas, I figured it would be okay to try out a laxative instead of just popping stool softeners with water.  I took half of the bottle at 8:30am, then figured if it&#039;s worth doing it&#039;s worth doing right so I drank the other half at 9:00.  It&#039;s 5:00 in the afternoon, and still nothing.  I figure I&#039;ll take some more softeners tonight, and head out to the pharmacy for tomorrow&#039;s preparations.  If I can&#039;t get it out between another bottle, glycerine suppositories, an enema, some vaseline, and a pair of XL latex gloves, then I think I&#039;ll have to go to the doc.",-1,0.000172927,0.99620986,1,Magnesium citrate,Constipation,4-Jan-16,18,2,wrong prediction,not immediately clear why predicted positive
1866,"I&#039;m suffering from Tinea Cruris for over 3 months now. Tried different remedies. Non of them worked. Tried topical creams such as Clotrimazole, Dactarin, Lamisil. None of them bring any relief. After consultation with my GP I took a liver function blood test and when the results came satisfying I was prescribed 200mg of Sporanox/Itraconazole for 1 week. No effect was noticed during the drug course although after few days fungus started to disappear from my penis head. Week after everything came back with a &quot;double kick&quot; the rash from my groin did not go at all. Everything is the same. Side effects: After the course I felt very tired and nervous but this went off after couple of days. Now I have to look for some other solution!!!",-1,0.000280321,0.9957754,1,Itraconazole,Not Listed / Othe,2-Jul-16,3,2,another drug mentioned,
4395,"I&#039;ve been on this pill for about a year and at first I loved it. I was on depo provera for a while but my periods were all over the place and skin wasn&#039;t in very good shape. Once I started levora, my breasts were very tender but they also grew so I wasn&#039;t complaining. About 6 months ago I started packing on pounds. I&#039;m 5&#039;2 and have never gone above 110lbs. I am now a solid 125lbs, sometimes more. I have not changed my fairly healthy diet and do lightly excercise. My skin has not cleared up and my sex drive is gone. I literally got nothing good out of this pill other than big boobs (Again, not complaining). I am getting off of this pill asap.",-1,0.062558286,0.8696485,1,Ethinyl estradiol / levonorgestrel,Birth Control,4-Apr-16,6,1,another drug mentioned,
6893,"I tried at least 15 different medications for severe neuropathy and sciatica pain. No medications help with my pain Nucynta has. I don&#039;t understand why is so hard to find, at least in my city.",-1,0.000177913,0.99953234,1,Nucynta,Pain,25-Jul-15,55,1,mislabeled by reviewer,
9625,"I got my insert in November of 2013 since then I have gained over 50 pounds but that was the only downside for me, I have no acne whatsoever and have only had a little bit of spotting but that usually happens when you are close to the end when you need to have it removed. However anxiety and depression have worsened towards the end. By end I mean within the last year to 6 months until it need to be removed.",-1,0.000676507,0.9412952,1,Nexplanon,Birth Control,4-Jun-16,0,3,wrong prediction,not immediately clear why predicted positive
20737,Medication works great for SHORT TERM usage.  Long term usage can suppress your adrenal glands and suppress your Hypothalmic-pituitary-adrenal axis.,-1,0.04405015,0.9556868,1,Megestrol,Anorexia,17-Aug-10,28,1,mixed sentiment,great
41563,"I had been prescribed 1mg of Xanax before bed for severe insomnia after trying all other sleep meds with side effects,  for over 5 years and it worked great. Then I had to get a new PC and they refused to fill Xanax.. Said I needed to go to a psychiatrist for that med. Sooo ridiculous. So, instead he gave me 1mg Klonopin at bedtime. He said it was the same thing just less addictive. I&#039;ve never had an addiction problem with any meds but he felt &quot;uncomfortable&quot; giving me the rx for Xanax,  which again, worked great for me. Now on Klonopin my insomnia is worse. I can&#039;t fall asleep until 7-8am and I just lay there wide awake feeling all irritated. I now get 2-3 hours of sleep a night. Which is worse for my health than 1mg of Xanax.",-1,0.000473011,0.99845517,1,Clonazepam,Insomnia,23-Nov-17,2,2,another drug mentioned,
27827,"Bilateral Pulmonary Emboli directly due to Nuvaring use. 

Misdiagnosed by first couple physicians and sent directly to ER after another physician recognized the signs of a potential blood clot. I was extremely active, had a great career, and never thought something like this would happen to me. I really liked the Nuvaring for a variety of reasons, but nothing is worth dying for. This came very close to killing me and I had to make big changes to my life after my blood clots. Weigh Risks and Benefits with more than 1 physician, and look for alternatives!!!",-1,0.001037368,0.99448085,1,NuvaRing,Birth Control,11-May-17,0,1,mixed sentiment,"active, great"
47165,I&#039;m in day 3 of taking this antibiotic having being diagnosed with a severe chest infection. Within 48 hours the stabbing pain and aches in my chest has completley disappeared. I have a awful bitter taste like  an aerosol spray/some sort of gas in my mouth. Cleaning my teeth and drinking helps this but it always feels worst at night :( Last night I had a bad nightmare but after that slept well. I&#039;ve had lots of tummy gurgling and today feel really nausea :( Have also been going to the loo more then usual! I&#039;m pretty anxious about taking the next 4 days but unsure if there is anything else I can take? I&#039;m allergic to penicillin.,-1,0.000105445,0.9964269,1,Clarithromycin,Pneumonia,9-Feb-17,7,3,mixed sentiment,completely disappeared
2431,I&#039;ve been on risperidone for 10 years. The positive is that it controlled my mania quickly in hospital. The negitive is that as a maintenance antipsychotic it&#039;s caused tension and spasm in my hands and legs. This has been helped by lower doses but then it only has to increase when my mood elevates.,-1,0.000213009,0.99097604,1,Risperidone,Bipolar Disorde,13-Mar-12,2,3,,
31466,"This medicine is absolutely amazing for Chronic Pain. HOwEVER, coming off of it is the absolute worse experience I have ever had the displeasure of experiencing. Please don&#039;t take this medication for longer than indicated. The relief you are feeling now, unfortunately, is not worth the pain you will experience when you stop taking it.",-1,0.17649367,0.8022609,1,Oxycodone,Chronic Pain,19-Jun-16,28,1,,
36823,"I used hexachlorophene before it was taken off the market.  I used it once and it burned my face so badly I had to see a dermatologist for months and repeatedly have my face scraped   and wrapped like a mummy. I wasn&#039;t the only one in my family to use it. Three of us used it at the same time. We all had a chemical burn but mine was worse because  my skin was much  lighter. The company then came out with Phiso-Hex. I  never used it, but I would suggest to use extreme caution or better yet find something without hexachlorophene in it.",-1,0.000148003,0.999438,1,Hexachlorophene,Acne,2-Dec-16,0,1,,
1413,"Like many others I took the Genomind test which told me that SSRI&#039;s were not optimal and that SNRI&#039;s were a better choice.  After 16 years and 20 different meds, I have had MUCH better success with SSRI&#039;s than SNRI&#039;s.  The test results also said that I was deficient in what Deplin could provide.  I have been taking 15mg of Deplin for almost 3 weeks now and have been experiencing some of the lowest depression that I have ever felt.  Today I woke up feeling just as miserable as I have been for the past 3 weeks so I decided not to take Deplin.  As I slumped through he morning I started to feel a wave of happiness and excitement for life come over me around 10:30am and I still feel great.  I feel like &quot;my&quot; normal self again. $60 wasted!",-1,0.000264984,0.9862097,1,Deplin,Depression,5-Jun-17,14,1,,
11425,"Let&#039;s be perfectly clear on this: the condition designated as opioid-induced constipation (OIC) IS NOT a recognized medical condition, it is not in the PDR. 



It is nomenclature that has been synthesized by AstraZeneca purely for marketing purposes and intended to be used to enhance selling points for their new pharmaceutical Movantik.



",-1,0.000126117,0.9997105,1,Movantik,"Constipation, Drug Induced",25-Oct-15,38,1,,
20895,"I was diagnosed with hyperhidrosis on my hands and feet as a child. Growing up with constant sweaty feet, I&#039;ve battled toe nail fungus since I was about 8/9 years old. I&#039;m 23. Today is my first day taking Terbinafine, so I&#039;m a little excited and can&#039;t wait to see results like most of you have. I have about 5/6 infected toes. 4 are severe. (2 big toes and 2 pinkys) I haven&#039;t been able to wear sandals out in public since I was a child. I&#039;ll leave another review when treatment is done in 3 months from now.",-1,0.000223245,0.986896,1,Terbinafine,"Onychomycosis, Toenail",25-Jun-15,12,1,,
1455,"I loved Chantix the first time that I used it!  I told everyone how wonderful this drug was.  Unfortunatley, I started smoking again and decided to use the Chantix again.  Shortly after starting the Chantix, I experienced my first migraine.  It was so scary because it had neurological side effects as well. My vision was blurry and my left arm went numb.  I stopped the Chantix and called my family doctor.  She did a neuro exam on me and everything was okay.  I had an MRI which was negative.  I decided to try the Chantix again after not having another migraine.  Guess what.....my second migraine happened.  I was shocked since I had taken the drug before with no problems but now I am convinced that it was the Chantix that caused this.",-1,0.002925828,0.9866058,1,Chantix,Smoking Cessation,7-Jul-09,13,1,,
